"Number","Genebank","Genebank.ID","Species.code","Species","GPS","GPS.1","GPS.2","GPS.3","Place","Province","COUNTRY","Description","Date.of.collecton","Elevation","Ploidy","gps.lat","gps.lon","gps.elevation"
1,"VIR",20892,"CHN","chancayense",NA,NA,NA,NA,"D. Lima","P. Chancay","PER","Lomas de Lachay",NA,200,"24",NA,NA,NA
2,"PI",561637,"ABZ","albornozii",-4,"0400S",-79.25,"07915W","P. Loja","D. Catamayo","ECU","3.6 km SW of junction of old Loja-Catamayo road and road to Duraznillo","01/05/91",2610,NA,-4,-79.25,2361.302734375
3,"PI",365356,"AML","amabile",-13.2,NA,-72.07,NA,NA,NA,"PER","Huajratanca, near Ckosniriti.",NA,NA,NA,NA,NA,NA
4,"PI",545880,"ARZ","arnezii",-19.6,"1936S",-646.333,"06438W","D. Chuquisaca","P. Azurduy","BOL","11 km from Abra Kasa on way to Tarabuco. 20 km before Cruz Kasa","01/04/86",2500,NA,-19.6,-64.6333333333333,3807.462890625
5,"PI",607896,"AYM","aymaraesense",-140.666,"1404S",-73.25,"07315W","D. Apurimac","P. Aymaraes","PER","400m E of San Francisco (at deviation of road N of Toraya), S side of road, 20m from margin of Rio Chalhuanca","17/04/98",2465,NA,-14.0666666666667,-73.25,2572.5107421875
6,"PI",498214,"SPEC","species",-84.833,"0829S",-776.166,"07737W","D. Ancash","P. Sihuas","PER","Cerro Santa Rosa",NA,3100,NA,-8.48333333333333,-77.6166666666667,4140.18310546875
7,"PI",568922,"BUE","buesii",-135.333,"1332S",-719.333,"07156W","D. Cusco","P. Urubamba","PER","Ppuyupatamarca",NA,3300,NA,-13.5333333333333,-71.9333333333333,3284.79516601562
8,"PI",607889,"BUE","buesii",-132.333,"1314S",-72.5,"07230W","D. Cusco","P. Urubamba","PER","growing about Rio Pacaymayo, at village of Pacaymayo, at crossing of River with Inca Trail N and W of Machu Pichu","13/03/98",3600,NA,-13.2333333333333,-72.5,3672.88891601562
9,"PI",255516,"DPH","bulbocastanum dolichophyllum",NA,NA,NA,NA,"E. Jalisco",NA,"MEX","Cuidad Guzman",NA,NA,NA,NA,NA,NA
10,"PI",545752,"DPH","bulbocastanum dolichophyllum",189.166,"1855N",-997.166,"09943W","E. Mexico",NA,"MEX","East of Coatepec Harinas, between San Francisco and Porfirio Diaz","03/10/84",2450,NA,18.9166666666667,-99.7166666666667,2424.31396484375
11,"PI",498235,"CHV","chavinense",-9.4,"0924S",-770.333,"07702W","D. Ancash","P. Huari","PER","Tambillo",NA,3900,NA,-9.4,-77.0333333333333,3573.42211914062
12,"PI",607890,"CHI","chillonanum (=tenellum)",-138.333,"1350S",-72.25,"07215W","D. Apurimac","P. Cotabambas","PER","Quellomayo, 39 km SE of center of town of Cotabambas, ca. 10 km NW of town of Tambobamba, ca. 50 m E of road","21/03/98",4050,NA,-13.8333333333333,-72.25,4195.849609375
13,"PI",497996,"AZN","fendleri arizonicum",283.166,"2819N",-107.35,"10721W","E. Chihuahua",NA,"MEX","Along road from La Junta to Tomochic. On E side of Papigochic River","22/09/82",2090,NA,28.3166666666667,-107.35,2256.03125
14,"PI",570620,"FLH","flahaultii",5.1,"0506N",-740.333,"07402W","D. Cundinamarca",NA,"COL","Farm called Caldera del Diablo of San Benito, field called Panama, 12km from deviation Zipaquira to Pacho & San Cayetano","30/07/92",3400,NA,5.1,-74.0333333333333,3446.66796875
15,"PI",583306,"FLH","flahaultii",60.333,"0602N",-724.833,"07229W","D. Boyaca",NA,"COL","On Paramo de Pisba, 88 km from Belen to Chita","07/08/92",3360,NA,6.03333333333333,-72.4833333333333,3337.08056640625
16,"PI",597750,"GND","gandarillasii",-189.166,"1855S",-65.1,"06506W","D. Chuquisaca","P. Oropeza","BOL","41 km N of Sucre (by posted road markers), on rd to Aiquile","25/02/93",2031,NA,-18.9166666666667,-65.1,2128.38305664062
17,"PI",498158,"GAB","garcia-barrigae",80.833,"0805N",-732.166,"07313W","D. Norte de Santander","P. Abreyo","COL",NA,NA,NA,NA,8.08333333333333,-73.2166666666667,1394.60461425781
18,"PI",365359,"HCB","huancabambense",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,NA,NA,NA,NA
19,"PI",607843,"LPS","leptosepalum",26.85,"2651N",-101.266,"10116W","E. Coahuila",NA,"MEX","Sierra de La Gloria, 15km E of Monclova to Candela, then S to farm of Dr. Cardenas","21/09/97",2070,NA,26.85,-101.266666666667,1699.50378417969
20,"PI",558434,"LES","lesteri",17.55,"1733N",-974.333,"09726W","E. Oaxaca",NA,"MEX","On W side of Route 125, 3.4 km S of Route 190,just S of San Juan Teposcolul","16/09/88",2250,NA,17.55,-97.4333333333333,2388.48217773438
21,"PI",558435,"LES","lesteri",162.166,"1613N",-965.333,"09632W","E. Oaxaca",NA,"MEX","Along E side of Route 175, at km 134.1, about 50 m off road","19/09/88",2390,NA,16.2166666666667,-96.5333333333333,2421.787109375
22,"PI",NA,"LBB","lobbianum",5.04,"5.04 N",-75.19,"75.19 W","D. Caldas",NA,"COL","1.5 km E of road going to Nevado de Ruiz, on road from Manizales to Fresno.",NA,3310,NA,NA,NA,NA
23,"PI",607844,"MCP","macropilosum",239.833,"2359N",-997.333,"09944W","E. Nuevo Leon",NA,"MEX","slopes of Cerro El Viejo, along logging path up hill, ca.5 km by air ENE of town square of Zaragoza","24/09/97",2750,NA,23.9833333333333,-99.7333333333333,2161.29052734375
24,"PI",583298,"MIN","minutifoliolum",-14.333,"0126S",-784.166,"07825W","P. Tungurahua","D. Banos","ECU","0.5-1.5 km S of end of new stone road to Runtun, which ends 12 km from main east-west road through Banos","15/05/91",2850,NA,-1.43333333333333,-78.4166666666667,2629.79418945312
25,"PI",230462,"MSP","moscopanum",2.35,"0221N",-76.3,"07618W","D. Huila","P. La Plata","COL","Paramo de Moscopan. San Marcos, km 32 on the road from Purace to Moscopan","21/07/48",2920,NA,2.35,-76.3,3449.26318359375
26,"PI",545825,"NYR","nayaritense",215.833,"2135N",-102.85,"10251W","E. Zacatecas",NA,"MEX","Hwy 70, 12 km NW of Jalpa, 18 km along the track SE towards Tlachichila","27/09/84",2460,NA,21.5833333333333,-102.85,2430.888671875
